substring,term,yes,no
PTHR12358,GO:0005730,1,1
PTHR12385,GO:0015220,3,1
PTHR12396,GO:0008327,7,1
PTHR12411,GO:0006508,20,1
PTHR12411,GO:0008234,8,1
PTHR12411,GO:0060441,1,1
PTHR12415,GO:0005737,1,1
PTHR12450,GO:0004674,4,1
PTHR12463,GO:0016706,1,1
PTHR12474,GO:0098869,1,1
PTHR12483,GO:0005375,13,1
PTHR12483,GO:0006825,7,1
PTHR12522,GO:0035218,1,1
PTHR12550,GO:0003682,2,1
PTHR12591,GO:0004346,7,1
PTHR12592,GO:0005739,1,1
PTHR12621,GO:0005509,1,1
PTHR12628,GO:0035064,6,1
PTHR12629,GO:0050072,1,1
PTHR12692,GO:0015693,3,1
PTHR12702,GO:0005829,1,1
PTHR12771,GO:0005096,3,1
PTHR12777,GO:0005829,1,1
PTHR12835,GO:0018271,1,1
PTHR12932,GO:0001578,4,1
PTHR12958,GO:0000122,2,1
PTHR12958,GO:0003714,1,1
PTHR13003,GO:0000776,1,1
PTHR13068,GO:0006390,1,1
PTHR13107,GO:0016422,2,1
PTHR13112,GO:0000184,4,1
PTHR13138,GO:0046540,1,1
PTHR13140,GO:0005524,10,1
PTHR13140,GO:0005905,1,1
PTHR13140,GO:0007368,2,1
PTHR13140,GO:0016887,4,1
PTHR13140,GO:0042803,1,1
PTHR13140,GO:0051646,2,1
PTHR13140,GO:0071907,1,1
PTHR13182,GO:0007117,1,1
PTHR13348,GO:0008033,1,1
PTHR13364,GO:0030897,2,1
PTHR13393,GO:0048024,1,1
PTHR13693,GO:0004758,12,1
PTHR13710,GO:0000723,5,1
PTHR13710,GO:0005730,4,1
PTHR13718,GO:0005730,2,1
PTHR13743,GO:0000331,1,1
PTHR13743,GO:0006907,1,1
PTHR13743,GO:0006909,2,1
PTHR13759,GO:0004713,1,1
PTHR13817,GO:0007156,4,1
PTHR13843,GO:0051015,1,1
PTHR13874,GO:0014824,3,1
PTHR13874,GO:0030593,2,1
PTHR13890,GO:0015095,11,1
PTHR13900,GO:0004402,2,1
PTHR13902,GO:0004672,5,1
PTHR13902,GO:0005524,2,1
PTHR14002,GO:0002040,1,1
PTHR14002,GO:0007179,3,1
PTHR14002,GO:0010468,1,1
PTHR14089,GO:0005634,5,1
PTHR14149,GO:0005096,1,1
PTHR14191,GO:0005634,2,1
PTHR14226,GO:0004622,3,1
PTHR14239,GO:0008823,3,1
PTHR14239,GO:0015677,3,1
PTHR14239,GO:0052851,3,1
PTHR14239,GO:0098706,3,1
PTHR14299,GO:0043280,1,1
PTHR14313,GO:0042802,1,1
PTHR14313,GO:0051260,1,1
PTHR14453,GO:0003950,3,1
PTHR14453,GO:0070212,3,1
PTHR14453,GO:0070403,2,1
PTHR14559,GO:0051092,2,1
PTHR14789,GO:0005540,1,1
PTHR14949,GO:0001701,1,1
PTHR14950,GO:0016442,2,1
PTHR14950,GO:0031054,5,1
PTHR14969,GO:0042577,1,1
PTHR15012,GO:0051017,1,1
PTHR15036,GO:0050885,2,1
PTHR15137,GO:0005669,3,1
PTHR15241,GO:0005829,9,1
PTHR15241,GO:0005844,2,1
PTHR15481,GO:0000387,1,1
PTHR15597,GO:0005737,4,1
PTHR15670,GO:0005096,1,1
PTHR15741,GO:0042803,2,1
PTHR15741,GO:0046982,2,1
PTHR15749,GO:0000724,1,1
PTHR16290,GO:0000290,2,1
PTHR16466,GO:0042162,3,1
PTHR16469,GO:0038065,1,1
PTHR16469,GO:0070527,1,1
PTHR16557,GO:0006307,2,1
PTHR16675,GO:0030881,6,1
PTHR16675,GO:0042270,2,1
PTHR16675,GO:0042612,4,1
PTHR16675,GO:0046977,2,1
PTHR16833,GO:0043392,1,1
PTHR17223,GO:0030282,1,1
PTHR18874,GO:0000776,1,1
PTHR18884,GO:0003924,5,1
PTHR18896,GO:0016036,1,1
PTHR18898,GO:0006606,1,1
PTHR18919,GO:0005777,2,1
PTHR18952,GO:0016323,3,1
PTHR18966,GO:0060079,9,1
PTHR18976,GO:0001540,3,1
PTHR18976,GO:0034362,4,1
PTHR18976,GO:0042803,2,1
PTHR19139,GO:0005372,9,1
PTHR19139,GO:0015250,16,1
PTHR19211,GO:0042254,1,1
PTHR19241,GO:0033344,6,1
PTHR19302,GO:0043015,10,1
PTHR19321,GO:0007020,1,1
PTHR19321,GO:0031116,1,1
PTHR19325,GO:0009986,7,1
PTHR19375,GO:0005829,23,1
PTHR19375,GO:0070370,2,1
PTHR19376,GO:0005730,4,1
PTHR19384,GO:0001542,1,1
PTHR19818,GO:0045893,6,1
PTHR19842,GO:0038202,1,1
PTHR19849,GO:0005634,3,1
PTHR19879,GO:0005730,1,1
PTHR19957,GO:0005765,2,1
PTHR19957,GO:0034498,1,1
PTHR20275,GO:0005516,1,1
PTHR20836,GO:0008839,4,1
PTHR20858,GO:0008902,4,1
PTHR20858,GO:0008972,3,1
PTHR20935,GO:0004619,1,1
PTHR20941,GO:0004156,5,1
PTHR20955,GO:0030223,1,1
PTHR21022,GO:0004106,1,1
PTHR21136,GO:0097352,1,1
PTHR21230,GO:0006888,2,1
PTHR21257,GO:0050613,3,1
PTHR21284,GO:0060857,2,1
PTHR21327,GO:0003935,2,1
PTHR21394,GO:0034088,1,1
PTHR21512,GO:0005769,2,1
PTHR21512,GO:0005794,1,1
PTHR21577,GO:0000070,1,1
PTHR21646,GO:0043130,1,1
PTHR22573,GO:0004614,10,1
PTHR22589,GO:0005789,1,1
PTHR22595,GO:0004568,5,1
PTHR22595,GO:0009408,1,1
PTHR22595,GO:0009651,1,1
PTHR22603,GO:0004103,14,1
PTHR22731,GO:0008033,1,1
PTHR22748,GO:0016491,1,1
PTHR22749,GO:0003919,2,1
PTHR22800,GO:1990405,2,1
PTHR22880,GO:0005730,3,1
PTHR22884,GO:0042054,2,1
PTHR22884,GO:0046975,7,1
PTHR22891,GO:0016246,8,1
PTHR22891,GO:0035195,2,1
PTHR22891,GO:0035196,8,1
PTHR22912,GO:0004591,1,1
PTHR22928,GO:0006974,1,1
PTHR22950,GO:0015171,10,1
PTHR22951,GO:0005829,1,1
PTHR22957,GO:0005096,30,1
PTHR22957,GO:0017137,19,1
PTHR22969,GO:0007252,1,1
PTHR23024,GO:0052689,4,1
PTHR23030,GO:0004725,1,1
PTHR23043,GO:0043619,3,1
PTHR23043,GO:0071456,6,1
PTHR23063,GO:0019432,4,1
PTHR23076,GO:0005886,1,1
PTHR23079,GO:0009751,1,1
PTHR23113,GO:0005085,11,1
PTHR23113,GO:0005886,11,1
PTHR23113,GO:0006935,2,1
PTHR23113,GO:0048870,1,1
PTHR23113,GO:0090557,1,1
PTHR23119,GO:0008022,7,1
PTHR23123,GO:0032452,1,1
PTHR23152,GO:0004591,3,1
PTHR23162,GO:0005929,1,1
PTHR23167,GO:0055038,1,1
PTHR23169,GO:0005912,1,1
PTHR23169,GO:0015629,3,1
PTHR23189,GO:0003677,1,1
PTHR23189,GO:0010228,1,1
PTHR23220,GO:0050798,3,1
PTHR23226,GO:0006355,3,1
PTHR23226,GO:0016604,1,1
PTHR23235,GO:0030097,1,1
PTHR23238,GO:0005730,1,1
PTHR23253,GO:0010507,2,1
PTHR23255,GO:0001701,6,1
PTHR23255,GO:0002063,3,1
PTHR23255,GO:0003181,2,1
PTHR23255,GO:0003342,1,1
PTHR23255,GO:0007368,6,1
PTHR23255,GO:0010468,3,1
PTHR23255,GO:0045893,6,1
PTHR23255,GO:0048185,15,1
PTHR23255,GO:0048762,2,1
PTHR23255,GO:0061626,1,1
PTHR23257,GO:0005730,1,1
PTHR23274,GO:0005634,1,1
PTHR23274,GO:0005739,5,1
PTHR23281,GO:0022612,1,1
PTHR23281,GO:0030033,2,1
PTHR23281,GO:0032956,1,1
PTHR23281,GO:0045198,1,1
PTHR23317,GO:0005829,3,1
PTHR23334,GO:0003700,4,1
PTHR23334,GO:0006355,4,1
PTHR23339,GO:0005813,3,1
PTHR23346,GO:0005829,2,1
PTHR23355,GO:0005730,2,1
PTHR23359,GO:0046899,3,1
PTHR23420,GO:0004013,5,1
PTHR23429,GO:0004345,14,1
PTHR23430,GO:0000077,1,1
PTHR23430,GO:0001740,2,1
PTHR23500,GO:0008645,12,1
PTHR23500,GO:0015574,3,1
PTHR23500,GO:0015771,3,1
PTHR23507,GO:0015232,2,1
PTHR24006,GO:0003723,1,1
PTHR24006,GO:0005540,1,1
PTHR24006,GO:0005730,6,1
PTHR24015,GO:0009451,7,1
PTHR24031,GO:0003725,4,1
PTHR24031,GO:0004004,34,1
PTHR24031,GO:0005634,43,1
PTHR24031,GO:0008026,2,1
PTHR24055,GO:0004672,25,1
PTHR24055,GO:0005930,1,1
PTHR24055,GO:0009267,3,1
PTHR24055,GO:0045648,2,1
PTHR24056,GO:0004693,38,1
PTHR24056,GO:0005730,4,1
PTHR24056,GO:0019912,5,1
PTHR24060,GO:0001662,1,1
PTHR24060,GO:0008066,7,1
PTHR24060,GO:0016595,3,1
PTHR24067,GO:0001701,1,1
PTHR24070,GO:0000165,1,1
PTHR24070,GO:0042802,1,1
PTHR24070,GO:0043547,2,1
PTHR24070,GO:0045121,3,1
PTHR24070,GO:0046328,1,1
PTHR24070,GO:0070372,1,1
PTHR24070,GO:0090557,1,1
PTHR24072,GO:0016203,2,1
PTHR24072,GO:0030041,3,1
PTHR24072,GO:0051022,2,1
PTHR24073,GO:0005769,26,1
PTHR24073,GO:0005794,51,1
PTHR24073,GO:0005929,10,1
PTHR24073,GO:0007224,1,1
PTHR24073,GO:0019068,2,1
PTHR24082,GO:0003677,19,1
PTHR24082,GO:0042632,8,1
PTHR24086,GO:0043565,3,1
PTHR24095,GO:0005829,4,1
PTHR24096,GO:0005777,4,1
PTHR24096,GO:0005783,1,1
PTHR24096,GO:0009611,3,1
PTHR24096,GO:0016207,4,1
PTHR24115,GO:0003777,26,1
PTHR24115,GO:0005739,4,1
PTHR24115,GO:0005783,1,1
PTHR24115,GO:0005876,11,1
PTHR24115,GO:0007018,12,1
PTHR24115,GO:0007288,1,1
PTHR24115,GO:0016887,13,1
PTHR24115,GO:0030139,2,1
PTHR24115,GO:0051225,3,1
PTHR24214,GO:0007519,1,1
PTHR24221,GO:0005783,5,1
PTHR24221,GO:0006855,1,1
PTHR24221,GO:0015086,1,1
PTHR24221,GO:0070574,1,1
PTHR24221,GO:0099038,2,1
PTHR24221,GO:0099040,2,1
PTHR24228,GO:0002035,2,1
PTHR24228,GO:0051281,1,1
PTHR24229,GO:0007191,1,1
PTHR24235,GO:0007631,3,1
PTHR24240,GO:0009416,4,1
PTHR24248,GO:0002032,1,1
PTHR24248,GO:0006898,1,1
PTHR24248,GO:0007626,5,1
PTHR24248,GO:0045471,2,1
PTHR24248,GO:0051482,2,1
PTHR24270,GO:0019534,1,1
PTHR24279,GO:0034651,3,1
PTHR24286,GO:0010295,3,1
PTHR24291,GO:0052869,1,1
PTHR24298,GO:0072550,1,1
PTHR24300,GO:0006805,3,1
PTHR24300,GO:0042738,5,1
PTHR24322,GO:0005634,1,1
PTHR24329,GO:0003677,1,1
PTHR24349,GO:0005829,7,1
PTHR24353,GO:0006468,21,1
PTHR24356,GO:0000226,1,1
PTHR24356,GO:0001666,2,1
PTHR24356,GO:0008284,3,1
PTHR24356,GO:0044351,1,1
PTHR24361,GO:0000165,24,1
PTHR24361,GO:0004674,57,1
PTHR24361,GO:0032154,2,1
PTHR24361,GO:0042542,3,1
PTHR24361,GO:0046330,11,1
PTHR24365,GO:0009986,5,1
PTHR24381,GO:0000122,4,1
PTHR24381,GO:0005634,14,1
PTHR24390,GO:0000122,11,1
PTHR24391,GO:0005730,1,1
PTHR24393,GO:0030512,1,1
PTHR24403,GO:0005737,1,1
PTHR24416,GO:0004714,20,1
PTHR24416,GO:0006468,17,1
PTHR24416,GO:0008045,5,1
PTHR24416,GO:0008284,33,1
PTHR24416,GO:0008285,7,1
PTHR24416,GO:0010976,7,1
PTHR24416,GO:0030097,6,1
PTHR24416,GO:0043547,1,1
PTHR24416,GO:0043552,6,1
PTHR24416,GO:0046579,1,1
PTHR24416,GO:0048146,4,1
PTHR24416,GO:0048681,1,1
PTHR24416,GO:0070374,13,1
PTHR24416,GO:1904646,2,1
PTHR24418,GO:0004715,19,1
PTHR24418,GO:0008340,1,1
PTHR24418,GO:0018108,38,1
PTHR24419,GO:0007250,1,1
PTHR24419,GO:0046777,4,1
PTHR24543,GO:0008429,1,1
PTHR26391,GO:0004714,1,1
PTHR28072,GO:0004520,1,1
PTHR28145,GO:0005634,1,1
PTHR28145,GO:0005886,1,1
PTHR28242,GO:0009927,9,1
PTHR28511,GO:0016888,1,1
PTHR28540,GO:0043065,2,1
PTHR30128,GO:0015288,1,1
PTHR30523,GO:0008964,5,1
PTHR31089,GO:0048510,1,1
PTHR31102,GO:0015385,2,1
PTHR31102,GO:0031966,1,1
PTHR31131,GO:0034618,1,1
PTHR31213,GO:0009739,1,1
PTHR31308,GO:0050295,1,1
PTHR31352,GO:0016161,5,1
PTHR31356,GO:0016688,1,1
PTHR31468,GO:0042124,10,1
PTHR31503,GO:0006828,1,1
PTHR31503,GO:0015369,7,1
PTHR31559,GO:0009228,2,1
PTHR31682,GO:0005829,4,1
PTHR31699,GO:0042803,1,1
PTHR31713,GO:0005516,6,1
PTHR31875,GO:0009737,1,1
PTHR31901,GO:0009733,5,1
PTHR31948,GO:0045893,2,1
PTHR31956,GO:0004629,4,1
PTHR31966,GO:0005829,1,1
PTHR31992,GO:0045893,6,1
PTHR32315,GO:0003999,3,1
PTHR32465,GO:1905515,1,1
PTHR32494,GO:0047652,3,1
PTHR33101,GO:0005089,1,1
PTHR33509,GO:0009409,1,1
PTHR33866,GO:0004014,2,1
PTHR33866,GO:0008295,2,1
PTHR33921,GO:0034605,2,1
PTHR33921,GO:0071454,2,1
PTHR34192,GO:0046688,2,1
PTHR34920,GO:0051092,1,1
PTHR35703,GO:0004392,3,1
PTHR35703,GO:0020037,3,1
PTHR38522,GO:0009409,1,1
PTHR40627,GO:0050364,1,1
PTHR42690,GO:0009088,1,1
PTHR42693,GO:0004065,2,1
PTHR42738,GO:0005739,4,1
PTHR42820,GO:0009688,1,1
PTHR42884,GO:0005615,8,1
PTHR42908,GO:0005634,1,1
PTHR42984,GO:0006476,1,1
PTHR43050,GO:0030378,6,1
PTHR43081,GO:0004016,5,1
PTHR43096,GO:0010468,1,1
PTHR43105,GO:0001666,1,1
PTHR43107,GO:0015908,3,1
PTHR43108,GO:0004065,2,1
PTHR43112,GO:0009416,3,1
PTHR43112,GO:0071949,1,1
PTHR43184,GO:0015760,2,1
PTHR43184,GO:0035435,2,1
PTHR43184,GO:0061513,2,1
PTHR43200,GO:0008934,1,1
PTHR43200,GO:0016312,1,1
PTHR43205,GO:0005622,1,1
PTHR43223,GO:0004065,1,1
PTHR43240,GO:0005777,1,1
PTHR43256,GO:0004362,1,1
PTHR43261,GO:0003746,1,1
PTHR43281,GO:0004311,6,1
PTHR43294,GO:0005886,7,1
PTHR43294,GO:0035050,1,1
PTHR43294,GO:1903416,3,1
PTHR43311,GO:0050561,1,1
PTHR43313,GO:0004303,2,1
PTHR43313,GO:0004745,9,1
PTHR43313,GO:0047035,3,1
PTHR43322,GO:0008661,3,1
PTHR43329,GO:0005829,3,1
PTHR43340,GO:0004422,8,1
PTHR43340,GO:0006178,2,1
PTHR43340,GO:0046038,1,1
PTHR43341,GO:0015203,1,1
PTHR43382,GO:0097452,1,1
PTHR43389,GO:0007605,1,1
PTHR43389,GO:0042472,1,1
PTHR43452,GO:0016831,1,1
PTHR43462,GO:0002161,1,1
PTHR43493,GO:0034335,2,1
PTHR43511,GO:0003983,6,1
PTHR43557,GO:0005634,5,1
PTHR43670,GO:0009408,1,1
PTHR43684,GO:0004165,1,1
PTHR43684,GO:0006635,1,1
PTHR43684,GO:0035064,1,1
PTHR43688,GO:0034979,1,1
PTHR43718,GO:0009507,1,1
PTHR43768,GO:0004805,10,1
PTHR43785,GO:0006542,1,1
PTHR43791,GO:0015225,2,1
PTHR43791,GO:1905135,1,1
PTHR43795,GO:0009693,2,1
PTHR43811,GO:0003755,4,1
PTHR43874,GO:0009735,12,1
PTHR43895,GO:0005634,7,1
PTHR43899,GO:0018454,1,1
PTHR43995,GO:0005681,1,1
PTHR44051,GO:0004602,5,1
PTHR44329,GO:0004672,11,1
PTHR44427,GO:0007156,2,1
PTHR45615,GO:0000146,13,1
PTHR45615,GO:0016887,7,1
PTHR45615,GO:0030898,8,1
PTHR45618,GO:0005310,5,1
PTHR45618,GO:0006835,2,1
PTHR45618,GO:0015140,2,1
PTHR45618,GO:0071423,1,1
PTHR45620,GO:0005886,9,1
PTHR45620,GO:0007190,2,1
PTHR45620,GO:0007202,2,1
PTHR45620,GO:0009986,3,1
PTHR45623,GO:0030702,2,1
PTHR45624,GO:0015227,2,1
PTHR45624,GO:0015879,1,1
PTHR45627,GO:0010977,2,1
PTHR45628,GO:0005634,2,1
PTHR45628,GO:0007269,1,1
PTHR45633,GO:0005829,5,1
PTHR45634,GO:0004407,14,1
PTHR45634,GO:0033558,6,1
PTHR45634,GO:0047611,1,1
PTHR45640,GO:0042026,6,1
PTHR45645,GO:2000463,1,1
PTHR45657,GO:0008525,2,1
PTHR45657,GO:0008526,6,1
PTHR45664,GO:0048538,1,1
PTHR45664,GO:0060017,1,1
PTHR45679,GO:0004559,2,1
PTHR45683,GO:0005739,4,1
PTHR45689,GO:0005222,4,1
PTHR45689,GO:0071320,4,1
PTHR45690,GO:0005634,1,1
PTHR45701,GO:0005829,4,1
PTHR45701,GO:0030667,1,1
PTHR45701,GO:0035577,1,1
PTHR45701,GO:0043308,1,1
PTHR45706,GO:0004725,4,1
PTHR45711,GO:0072320,1,1
PTHR45726,GO:0004463,2,1
PTHR45726,GO:0019370,1,1
PTHR45740,GO:0003950,4,1
PTHR45743,GO:0005242,5,1
PTHR45744,GO:0004838,5,1
PTHR45762,GO:0003677,1,1
PTHR45767,GO:0008340,1,1
PTHR45787,GO:0045600,1,1
PTHR45794,GO:0005829,1,1
PTHR45820,GO:0000329,1,1
PTHR45821,GO:0005730,1,1
PTHR45822,GO:0004930,6,1
PTHR45822,GO:0007186,7,1
PTHR45853,GO:0005730,1,1
PTHR45854,GO:0005096,2,1
PTHR45866,GO:0034335,2,1
PTHR45869,GO:0046790,1,1
PTHR45887,GO:0005634,1,1
PTHR45889,GO:0030424,1,1
PTHR45899,GO:0005096,1,1
PTHR45915,GO:0005730,1,1
PTHR45956,GO:0005829,2,1
PTHR45996,GO:0016020,1,1
PTHR45997,GO:0000723,1,1
PTHR46044,GO:0080061,3,1
PTHR46047,GO:0042532,1,1
PTHR46089,GO:0017112,1,1
PTHR46099,GO:0008217,2,1
PTHR46120,GO:0006577,1,1
PTHR46120,GO:0046500,1,1
PTHR46120,GO:0047150,3,1
PTHR46139,GO:0017040,3,1
PTHR46145,GO:0030305,2,1
PTHR46514,GO:0048488,1,1
PTHR46523,GO:0005634,1,1
PTHR46523,GO:0005739,1,1
PTHR46810,GO:0018094,1,1
PTHR46810,GO:0070735,1,1
PTHR46897,GO:0043001,1,1
PTHR46980,GO:0005886,1,1
PTHR46981,GO:0005829,1,1
